Taestivum_TRIAE_CS42_3B_TGACv1_220660_AA0714400.1	CC-NB-LRR-NB-LRR
Taestivum_TRIAE_CS42_5BL_TGACv1_404628_AA1306700.2	NB-LRR-GRAS
Hvulgare_MLOC_38423.1	NB-LRR
Taestivum_TRIAE_CS42_7AS_TGACv1_570111_AA1830630.1	TRX-NB-LRR-Kelch
Atauschii_EMT31754	NB-LRR
Sitalica_Si028373m	NB-LRR
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	TRX-NB-LRR-Kelch
Atauschii_EMT29641	NB-LRR-LRR-B3
Taestivum_TRIAE_CS42_3AL_TGACv1_194861_AA0640850.1	NB-LRR-CC-CC-NB-LRR-LRR
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	Pkinase-NB-LRR
Taestivum_TRIAE_CS42_4AL_TGACv1_289395_AA0970060.2	NB-LRR-EF-hand-Pkinase
Taestivum_TRIAE_CS42_7DS_TGACv1_624230_AA2059910.1	TRX-NB-LRR-LRR-CC
Hvulgare_MLOC_57007.2	NB-LRR
Taestivum_TRIAE_CS42_4AL_TGACv1_288731_AA0956840.1	NB-LRR
Taestivum_TRIAE_CS42_7DL_TGACv1_604652_AA2000310.1	NB-LRR-LRR
Bdistachyon_Bradi2g09434.1.p	AP2-DNA_binding-NB-LRR
Bdistachyon_Bradi4g10450.1.p	NB-LRR-Pkinase
Hvulgare_MLOC_64580.5	Pkinase-NB-LRR-ZnC2C2
Sitalica_Si004258m	NB-LRR
Taestivum_TRIAE_CS42_6BL_TGACv1_501509_AA1618260.1	NB
Sitalica_Si025948m	CC-NB-LRR
Taestivum_TRIAE_CS42_2DS_TGACv1_177277_AA0571930.1	NB-LRR-LRR-LRR-LRR-LRR
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	NB-LRR-Pkinase
Atauschii_EMT25585	CC-NB-LRR-NOI
Hvulgare_MLOC_37321.1	NB
Hvulgare_MLOC_64708.1	NB-LRR-B3
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	NB-LRR-Kelch
Osativa_LOC_Os10g22484.1	NB-LRR
